alloy_composition,sample_preparation,max_magnetic_entropy,temperature,magnetic_field,source_pdf
Ni43Mn40Sn10Cu7,"Arc melting in Ar atmosphere, followed by vacuum encapsulation, annealing at 1123 K (850°C) for 24 h, and ice-water quenching",未提及,332 K,5 T,1.4790140.pdf
Ni45Mn39Co5Sn11,"Arc melting in Ar atmosphere with ~4% excess Mn, followed by annealing at 1273 K for 24 h and ice-water quenching",17.7 J kg^-1 K^-1,364 K,8 T,1-s2.0-S0925838820351085-main.pdf
Ni50Mn35Al2Sn13,Arc-melting followed by melt-spinning under Ar atmosphere; single-roller melt-spinning with copper roller velocity of 40 m/s to produce ~30 μm thick ribbons,未提及,175 K (for inverse MCE near magnetostructural transition); 315 K (for direct MCE near magnetic transition),1.8 T,Dynamics of the magnetocaloric effect in cyclic magnetic fields in Ni50Mn35Al2Sn13 ribbon sample.pdf
Ni50Mn36.5Sn13.5,"Arc melting under argon atmosphere, followed by annealing at 1173 K for 0–24 h and ice-water quenching",5.15 J/kg·K,285 K,1.5 T,Effect of structural disorder on the magnetocaloric properties of Ni-Mn-Sn alloy.pdf
Ni41.5Ti0.5Co9Mn39Sn10,Arc-melting followed by melt spinning at 17 m/s wheel speed; some samples annealed at 1073 K for 2 h and water quenched,6.62 J/kg·K,283.4 K,2 T,paper.pdf
Ni45Mn44Sn11,"Arc melting in argon atmosphere, followed by annealing at 1173 K for 24 h and water quenching",10.4 J/kg K,200 K,10 kOe,Low-field inverse magnetocaloric effect in Heusler alloys.pdf
Ni44Mn45Sn11,"Arc melting in argon atmosphere, followed by annealing at 1173 K for 24 h and water quenching",10.1 J/kg K,245 K,10 kOe,Low-field inverse magnetocaloric effect in Heusler alloys.pdf
Ni43Mn46Sn11,"Arc melting in argon atmosphere, followed by annealing at 1173 K for 24 h and water quenching",6.8 J/kg K,270 K,10 kOe,Low-field inverse magnetocaloric effect in Heusler alloys.pdf
Ni40Co10Mn40Sn10,"Repeated melting in an arc furnace under argon atmosphere, followed by annealing at 1223 K for 9 h and water quenching",14.9 J/(kg·K),Near room temperature (broad plateau from 267 K to 287 K),5 T,Huang_2014_Appl._Phys._Lett._104_132407.pdf
Ni41Co9Mn40Sn10,Arc melting followed by annealing at 1223 K for 9 h and water quenching,31.9 J/(kg K),358 K,5 T,c4e3bd5b4b19c23bd0d70b8d9cec7bcf007549c5d891117b058650fe49c82c21.pdf
Ni39Co11Mn40Sn8Al2,Arc melting followed by annealing at 1273 K for 9 h and water quenching,31.6 J/kg·K,"Not explicitly stated (near martensitic transformation temperature, ~370–380 K)",5 T,paper.pdf
Ni50Mn36Co1Sn13,Arc-melting followed by vacuum annealing at 1173 K for 24 h and water quenching,13.8 J/kg·K,284 K,2 T,PhysRevB.81.214406.pdf
Ni43.8Cr1.2Co5Mn40Sn10,"Arc-melting under Ti-gettered argon atmosphere, re-melted five times, drop-cast into copper mold, solution heat treated at 1173 K for 24 h in vacuum-sealed silica tubes, then water quenched",24.5 J/kg·K,267.5 K,5 T,1.5000147.pdf
Ni50Mn35Sn15,"Arc melting under argon atmosphere, followed by annealing at 1273 K for 2 hours and ice-water quenching",15 J K^-1 kg^-1,189 K,5 T,inverse_magnetocaloric_effect_in_ferromagnetic_Ni_Mn_Sn_alloys.pdf
Ni50Mn37Sn13,"Arc melting under argon atmosphere, followed by annealing at 1273 K for 2 hours and ice-water quenching",18 J K^-1 kg^-1,307 K,5 T,inverse_magnetocaloric_effect_in_ferromagnetic_Ni_Mn_Sn_alloys.pdf
Ni50Mn35Sn15,"Arc melting under argon atmosphere, followed by annealing at 1273 K for 2 hours and ice-water quenching",15 J K^-1 kg^-1,189 K,5 T,paper.pdf
Ni50Mn37Sn13,"Arc melting under argon atmosphere, followed by annealing at 1273 K for 2 hours and ice-water quenching",18 J K^-1 kg^-1,307 K,5 T,paper.pdf
Ni50Mn37Sn13,"Arc melting under argon atmosphere, followed by annealing at 1273 K for 2 h and ice-water quenching",20 J/kg·K,未提及具体温度值，但参考合金的马氏体起始温度Ms约为303–307 K,5 T,Effect of Co and Fe on the inverse magnetocaloric properties of Ni-Mn-Sn.pdf
Ni49.1Fe0.9Mn36.7Sn13.3 (Fe1),"Arc melting under argon atmosphere, followed by annealing at 1273 K for 2 h and ice-water quenching",未明确给出数值，但小于20 J/kg·K,约260 K（根据图6(c)估算）,5 T,Effect of Co and Fe on the inverse magnetocaloric properties of Ni-Mn-Sn.pdf
Ni46.9Fe3.0Mn36.8Sn13.3 (Fe3),"Arc melting under argon atmosphere, followed by annealing at 1273 K for 2 h and ice-water quenching",30 J/kg·K,约195 K（根据图6(d)估算）,5 T,Effect of Co and Fe on the inverse magnetocaloric properties of Ni-Mn-Sn.pdf
Ni48.7Co1.2Mn36.9Sn13.2 (Co1),"Arc melting under argon atmosphere, followed by annealing at 1273 K for 2 h and ice-water quenching",略低于20 J/kg·K（文中称“decrease”）,约305 K（根据图6(a)估算）,5 T,Effect of Co and Fe on the inverse magnetocaloric properties of Ni-Mn-Sn.pdf
Ni47.0Co3.1Mn36.6Sn13.3 (Co3),"Arc melting under argon atmosphere, followed by annealing at 1273 K for 2 h and ice-water quenching",略低于20 J/kg·K（文中称“decrease”），但在240 K和260 K附近有额外峰,主峰约294 K，次峰240 K和260 K,5 T,Effect of Co and Fe on the inverse magnetocaloric properties of Ni-Mn-Sn.pdf
Ni40Co8Mn42Sn10,Arc-melting followed by homogenization at 1173 K for 24 h and water quenching,21.6 J kg^-1 K^-1,300 K,5 T,paper.pdf
"Mn49Ni42-xFexSn9 (x = 0, 2, 3, 4, 5, 6 at.%)","Induction melting of high purity metals (>99.9%), homogenization heat treatment at 1173 K for 3 days under argon atmosphere, followed by cutting, reheating at 1173 K for 0.5 h and water quenching",51 J/kg·K,未提及,未提及,Effect_of_Fe_doping_and_magnetic_field_on_martensitic_transformation_of_Mn-Ni(Fe)-Sn_metamagnetic_shape_memory_alloys.pdf
Ni43Mn41Co5Sn11,Melt-spinning followed by high-pressure annealing at 4 GPa and 1123 K for 10 min,未提及具体数值,284 K and 320 K,10 kOe,Investigation_of_the_intermediate_phase_and_magnetocaloric_properties_in_high-pressure_annealing_Ni–Mn–Co–Sn_alloy.pdf
Ni50-xMn37+xSn13 (x = 3),Arc melting followed by annealing at 1175 K for 6 h under high vacuum and argon gas quenching,32 J kg^-1 K^-1,187 K,5 T,J._Phys._D_Appl._Phys._43_425002.pdf
